id,login,BordaCount,12MonthActivityNum,Authority,FollowersNum,ForkedHindex,WatcherHindex,usrPageRankScore
8540559,"ryou62525",15467,1017,19066,1538,30,59,33778
8543873,"makerbase-mks",12450,1067,8107,1480,31,56,34132
8544970,"maureendugan",14949,1065,3713,1504,31,59,47247
8545001,"sapeien",12317,942,18932,1453,30,56,22981
8547368,"DoubangoTelecom",6647,990,5157,1406,29,52,16482
8548942,"huntzhan",16091,989,20122,1488,30,54,34987
8551952,"viniciusthiengo",4213,1059,1691,1309,31,54,11333
8566718,"JazysYu",9642,1078,1543,1363,30,56,30865
8573196,"ToneLoke",15061,1074,5267,1517,29,59,46070
8575026,"IAMFELIPEMATTOS",15618,1036,11208,1432,31,58,42252
8578154,"christinecha",5346,1049,3880,1468,31,54,13019
8590977,"Gooooodman",12139,1048,3927,1303,32,58,37451
8591610,"SensorsIot",8006,1043,4342,1451,31,53,22091
8626438,"shawnchris",11502,1069,22256,1542,32,59,16681
8646181,"smkamranqadri",15134,1039,2578,1475,31,57,49032
8648869,"Septs",13324,1008,16122,1470,31,57,29358
8651377,"Ninjinkai",11905,1046,17929,1537,31,59,22396
8657196,"kennykerr",8030,1080,8799,1512,31,59,17614
8657286,"lengstrom",3729,1047,4735,1404,30,57,6440
8657693,"boai",15328,926,3577,1460,31,54,48906
8667919,"giMini",16482,1071,10733,1480,30,56,45664
8669188,"tonybruess",13925,1073,35680,1341,32,59,11851
8682437,"ryankiros",1365,1079,925,1199,29,60,2677
8682571,"marmelroy",3608,1041,2167,1233,26,50,8799
8682839,"mike-north",5240,776,11979,1321,26,47,4965
8684440,"jkbrzt",1997,1059,1467,763,27,49,4683
8684782,"arogozhnikov",15526,1034,4689,1495,31,57,48374
8688020,"AnatoliyGatt",6774,1060,6319,1198,31,51,15938
8688662,"kingcons",10705,1004,30936,1369,30,55,5295
8690707,"yixiangboy",9005,1077,1854,1350,29,54,28247
8691221,"mackhasegawa",2675,1069,2848,1404,31,58,4798
8697781,"briancroom",16847,992,33525,1520,31,56,24224
8699074,"namandistro",15236,1079,23974,1371,31,60,28103
8699185,"hackedteam",125,1080,109,97,28,37,145
8699596,"VictorAlbertos",11423,971,15827,1424,30,46,23053
8699747,"icepy",2521,978,2495,940,28,49,5236
8700666,"andrewdang17",13682,1077,6437,1525,31,60,40150
8704577,"bam-suffolk",4307,1079,6426,1512,29,60,6628
8707523,"YIXUNFE",15051,1048,21079,1481,31,56,30285
8708478,"SummerBr",14093,1071,4430,1513,31,59,43535
8710113,"mwaggett",16394,1050,10299,1532,31,59,45749
8710535,"octaviovillegas",2186,1050,1338,1393,31,58,4856
8712227,"Olical",6798,1042,8980,1363,28,51,13190
8712675,"guaxiao",2633,1077,1413,1196,29,60,6277
8713431,"howardchung",9397,608,6213,1513,31,59,25671
8714157,"delirehberi",11422,984,14656,1377,30,56,24246
8714355,"nandomoreirame",14495,955,19331,1403,29,52,30279
8715136,"nevinvalsaraj",17699,1076,27287,1466,31,59,33492
8716519,"nanaya",17341,868,15668,1508,32,59,44051
8719464,"demonnico",3229,1071,4017,1141,27,56,5664
8719745,"captainsafia",4605,795,2772,1366,31,55,11786
8720484,"informationextraction",3523,1080,4306,1238,30,55,6246
8724214,"electricimp",8176,1035,7318,1507,30,57,19657
8731786,"impronunciable",7979,813,16947,1380,28,55,9709
8735382,"sigkell",13778,1076,29485,1464,30,58,17482
8741085,"theWhiteFox",7406,1059,7929,1290,32,58,16401
8744020,"wa0x6e",8405,1071,3706,1423,26,55,24161
8748919,"vvscode",5175,947,3684,1481,32,54,12669
8761973,"ouabing",13591,1080,11607,1472,32,59,34687
8772629,"SammyJames",17812,1079,37418,1542,30,58,23677
8801197,"azeier",7529,1043,8798,1419,32,59,15861
8810307,"vpsilvay",14157,1060,10717,1519,32,60,37477
8813971,"SunLiner",11069,1069,1981,1366,32,56,35573
8830648,"wkwyatt",17321,1072,6077,1526,31,60,53352
8855588,"juliusvega998",14439,1003,6772,1525,32,60,42494
8885561,"Excrulon",15937,1056,11853,1459,30,54,42663
8932296,"gloomyson",5257,1079,8522,1306,31,60,8174
8953345,"michellejl",12519,1030,7536,1528,31,59,34932
8973813,"chenssy89",4829,1077,1744,1340,31,57,13392
8992787,"Walid-Asmar",16954,1079,19959,1539,32,60,38091
9004594,"6ag",8779,1042,12968,1288,31,48,16421
9032643,"hntrmrrs",15003,1080,48265,1463,31,59,2912
9032904,"CharlinFeng",718,1062,1096,386,19,34,1105
9034027,"yeahwu",5659,978,1553,1223,30,52,16734
